Computer_Description,Selling_Price
Windows PC Dell Pro Tower Desktop Computer Core 2 Duo Up to 8GB 1TB HD 22in LCD,$99.95 to $239.95
HP DC6000 COMPUTER DUAL CORE 2.8GHZ 250GB 2GB WINDOWS XP FREE SHIP! M6000-XP2,$64.99
Dell Desktop computer PC  **  WIFI **  755 780 2.93GHz 250GB windows xp 32 bit,$119.89
Dell Core I5 HDMI WiFI 4GB 250GB Windows 10 Desktop Computer 1 Year Warranty,$126.00
"Dell SFF Desktop Computer PC Core i3 4GB Ram 500GB 19"" LCD Wi-Fi Speakers Win 10",$209.99
Dell OptiPlex 9020 SFF PC Intel Core i5 4590 8GB 500GB HDD Win 10 Pro- Good,$149.99
"HP 22"" Full-HD TOUCHSCREEN AMD 3.50GHz 1TB HDD 8GB Ram DVD+R All-in-One Computer",$444.22
HP Prodesk Computer Desktop up to Intel i7 16GB RAM 500GB SSD Windows 10 Pro PC,$149.99 to $579.99
HP Gaming Computer PC 16GB 2TB 512GB SSD Nvidia GT1030 Graphics Win 10 Desktop,$279.00 to $409.00
HP J5N50UT Chromebox 4GB RAM 16GB Intel Celeron 2955U Mini PC Desktop Computer,$69.99
New ListingHP Pavilion Desktop 590-p0066 i5-8400 2.80GHz 12GB RAM 1TB HDD Win11P,$299.99
Dell Gaming Desktop Computer Nvidia GT 1030 16GB 1TB 512Gb SSD Windows 10 PC,$269.00 to $399.00
New ListingDell Optiplex 3070 i5-8500T 8GB 256GB SSD Wifi + Bluetooth. Antenna included. ,$239.99
New ListingDell 9020 Tower Computer i7 3.9Ghz 4GB 500GB HDD DVD-RW WiFi Windows 10 Home,$190.50
Gaming PC Desktop Computer RGB i7 Intel 2TB HDD 16GB RAM GTX 1060 Nvidia,$729.99
"Dell Gaming Tower Computer MT Nvidia GT 730 4GB, i5, WiFi, 16GB 128GB SSD + 2TB",$319.99
Dell Desktop i7 Computer PC SFF Intel Core 8GB RAM 1TB HD Windows 10 Home Wi-Fi,$159.99
New ListingDell OptiPlex 9010 Computer Core i5 3470 3.2GHz 8GB RAM 256 GB SSD PC,$65.00
New ListingDell 9020 Tower Computer i7 3.9Ghz 16GB 500GB HDD DVD-RW WiFi Windows 10 Home,$260.95
"HP Pro Computer Desktop PC Core i5 3.2GHz 8GB 1TB New 22"" LCD WiFi Windows10 Pro",$339.99
Dell i7 Desktop Computer PC 7040 WiFi/HDMI/up to 32GB RAM 3TB HDD SSD/Windows 11,$270.00 to $650.00
HP All in One Computer 24 WINDOWS 11 16GB 512GB Bluetooth WEBCAM (FULLY LOADED),$659.00
New ListingDell Precision 3420 Desktop Intel Core i5 16gb Ram 250gb M.2 SSD Win 10 Pro WiFi,$299.99
HP All-in-One Computer 22” Full-HD Display Intel 3.20GHz 4GB 256GB SSD Drive BT,$377.44
"HP Desktop i7 Computer PC Intel Core 8GB RAM 500GB HDD 19"" LCD Windows 10 Wi-Fi",$134.99
Dell Computer PC Desktop 8GB Ram 500GB HD Intel Quad Core i5 3.10GHz Windows 10 ,$149.99
New ListingHP Pavilion P6-2136 Desktop Computer 2.2GHz 6GB RAM 500GB HDD Windows 10 Home,$65.00
Dell PC i5 Desktop Computer Tower 3.20GHz 8GB RAM 1TB HD Windows 10 Pro Wi-Fi,$134.99
Dell XPS 8940 i7-11700 16Gb RAM 512GB SSD+1TB HDD WiFi (Integrated Graphics),$689.00
AMD Quad Core 4GB DVDRW Windows XP PC Computer 32 bit w/Parallel Serial PCI,$399.99
Dell Windows 10 Desktop Computer PC Intel Quad-Core i5 8GB RAM 256GB SSD WiFi BT,$134.99
Skytech Archangel Gaming PC Computer Intel Core i5 10400F 2.9 GHz RTX 3060,"$1,099.99"
New ListingDell OptiPlex 3040 SFF PC Intel i5-6500 3.20GHz 8GB 500GB NO/OS Computer Desktop,$149.99
Dell OptiPlex 7040M Micro Form Factor Tower 2.5GHz Core i5 8GB RAM No HD SSD,$139.99
"Windows 11  Desktop Computer, Dell 7010 PC i5 3.4GHz, 8GB RAM, 500GB, Wi-Fi, GPU",$159.00
HP Desktop Computer WINDOWS 11 PRO 32GB 1TB Bluetooth WiFi DVD+RW (FULLY LOADED),$549.00
Intel STCK1A8LFC 8GB PC Compute Stick with Linux,$20.00
Dell Quad Core i7 Optiplex 7010 Fast Desktop Computer PC Gaming Workstation,$289.95 to $669.95
FIT PC2 Micro Tiny Windows 10 Streaming Desktop PC Computer HDMI WIFI SD 32G SSD,$69.99
Windows 11 Dell OptiPlex Tower Dual core SSD 8GB RAM WiFi BT Desktop Computer PC,$210.99
New ListingDell 390 Desktop 16GB 2TB Core i5 Computer PC WiFi DVD Windows 10 12 Month Warr,$199.00
"Dell Computer & 22"" LCD bundle Core i5 8GB 500GB WiFi Windows 10 Desktop PC",$205.00
Dell Windows 10 Pro Desktop Computer PC Quad Core i5 DVD WiFi 16GB RAM 1 TB HD,$195.00
Desktop Computer PC Windows XP PRO SP3 32bit RS232 Serial Parallel DVDROM 9PIN,$49.99 to $89.99
Shop on eBay,$20.00
"Dell 390 Desktop Computer Core i3 Windows 10 PC 8GB 250GB HD Wi-Fi DVD 17"" LCD ",$144.95
"HP Desktop Computer Intel Core 2 Duo 8GB 250GB HD 17"" LCD DVD WIFI Windows 10 PC",$129.95
WIN11 Pro - Dell Optiplex 7040 Micro i5-6500T 2.50GHz 8GB 128GB SSD WIFI,$184.99
"HP Desktop Computer PC 16GB 2TB 512GB SSD Wifi Core i5 Windows 10 PC 24"" 22"" LCD",$177.99 to $409.99
Desktop computer Dell Optiplex 755 / 780 Duo Core 4GB RAM 250GB Windows 7 32bit,$97.99
New ListingDell Desktop Computer PC | Intel i5 Quad Core | 4GB RAM |1 TB HDD | Windows 10,$169.99
Dell Optiplex 9020 Tower PC Core i7-4770 32GB RAM 1TB SSD Windows 10 Pro Wifi BT,$412.99
New ListingDell Optiplex 990 Tower i5-2400 3.10GHz 8GB RAM 1TB HDD Windows 10 Pro q,$64.99
New ListingHP i7 Desktop SSD Computer PC Intel Core 8GB RAM 256GB SSD Windows 10 Home Wi-Fi,$154.99
"Dell Desktop Computer QUAD CORE i5 16GB RAM 2TB 512GB SSD WINDOWS 10 PC 24"" LCD",$160.99 to $360.99
HP M01 DESKTOP INTEL QUAD CORE i3-10100 4.3GHz  8GB 1TB 7200RPM DVDRW,$269.99
Dell Optiplex 7050 SFF i5-7500 3.40GHz 8GB RAM 256GB SSD Windows 10 Pro,$206.79
HP S01 SLIM DESKTOP PC INTEL CORE i5-10400 4.3GHZ 16GB 1TB 7200RPM HD DVDRW,$399.99
Zotac Mini PC AMD FX-7600P 2.7GHZ 4GB RAM NO HDD GS-B280-0001,$64.99
Dell i5 Desktop 8GB RAM 500GB HD PC Intel Core Computer Windows 10 Home Wi-Fi,$109.99
CHUWI LarkBox Smallest 4K Mini PC Windows 10 Desktop Intel J4115 Computer 6+128G,$163.29
New ListingDell 9020 Tower Computer i7 3.9Ghz 4GB 1TB HDD DVD-RW WiFi Windows 10 Home,$210.50
New ListingDell 9020 Tower Computer i7 3.9Ghz 16GB 1TB HDD DVD-RW WiFi Windows 10 Home,$287.50
New ListingDell 390 Computer i5 16GB 512GB SSD Dvd Windows 10 PRO Desktop 12 mo Warranty,$239.00
Dell Optiplex 3010 SFF i5-3470 3.20GHz Business Desktop Computer Windows 10 PC,$124.99 to $199.99
10-Core Gaming Computer Desktop PC Tower SSD Quad 32GB R7 Graphic CUSTOM BUILT,$549.99
Dell Optiplex 960 FAST XP Desktop computer Intel duo core  2.90GHz WINDOWS XP,$126.76
"New ListingDell Core i7 3.4Ghz 16GB RAM, 500GB SSD, 4TB HDD  AMD Radeon R9 360  Win 10 Pro ",$449.00
Dell Inspiron 3891 Desktop i5-11400 12GB RAM 256GB SSD+1TB HDD DVD-RW WiFi,$449.00
Lenovo Gaming Computer Nvidia GT1030 HDMI Windows 10 Core I5 Desktop PC Custom,$295.00 to $445.00
Lenovo ThinkCentre M900 Tiny PC Core i5 6500T 8GB RAM 256GB SSD Win10 Desktop,$188.00
New ListingDell Optiplex 7050 Micro PC Core I5-6500T 2.50GHz 8GB RAM 120GB SSD Win 10 Pro,$125.00
"hp Desktop Computer 16GB 2TB 512GB SSD Wifi Core i5 Windows 10 PC 24"" 22"" LCD",$144.99 to $409.99
Dell 390 Computer i5 16GB 512GB SSD Dvd Windows 10 Desktop WiFi 12 mo Warranty,$225.00
Dell Windows 10 Desktop Computer Intel Core 2 Duo 4GB 250GB HD WIFI 19in LCD DVD,$125.95
Dell Precision T3600 | Xeon E5-1650 3.2GHz | 16GB | GPU | 128GB SSD | Win 10 Pro,$179.99
"Dual Screen Dell Computers Core 2 Duo 4GB 500GB DUAL 19"" LCD Monitor Windows 10",$209.00
Fast Dell TOWER Desktop Computer Core 2 Duo 4GB 250GB HDD Windows 7 pro 32bit,$95.00
Dell OptiPlex 3020 Computer i3-4130 3.4Ghz 4GB 500GB Windows 10 USB 3.0 B3020-1,$79.99
HP J5N50UT Chromebox 4GB RAM 16GB Intel Celeron 2955U Mini Desktop Computer,$27.99
New ListingINTEL HADES CANYON 1TB SSD 32GB RAM NUC8i7HVK i7-8809G MINI PC VR WIN 10 PRO,$825.00
New Listingdesktop computers i5 windows 10,$130.00
HP Pro 6300 Computer Dual Core 2.8Ghz 4GB 250GB USB 3.0 Windows 10 M6300-9,$65.99
"Dell OptiPlex 7040 SFF Desktop, i5 6500, 8GB RAM, 256GB SSD, Win10",$174.99
Dell Desktop i7 SSD + 1TB HD + 16GB Ram + Wifi + Windows 10 Pro + Free Warranty,$304.95
"Dell Latitude E6540 Gaming Laptop Core i5 15.6"" 16GB Ram 512GB SSD Win 10 Pro",$449.99
New ListingIntel NUC Micro PC NUC7i5BNK i5-7260U 8GB RAM 128GB M.2 (NO OS),$199.99
New ListingDell OptiPlex 3050 SFF PC Intel i5-7500 3.40GHz 8GB 500GB NO/OS Computer Desktop,$174.99
New ListingRaspberry Pi 4 Model B 2GB RAM Computer - New / Sealed,$114.99
"New ListingDell OptiPlex 9010 SFF PC Computer, Intel Core i7-4790 3.60GHz, 8GB",$59.99
Intel i5 Custom Gaming PC Desktop Computer 16GB SSD 500GB GeForce GT 1030 HDMI,$548.68
Dell Inspiron Desktop 3891 i5-11400 12GB RAM 256GB SSD + 1TB HDD Win 11 Home,$399.00
Fast Dell Computer Tower Windows 7 Pro 32bit Intel core 2 Duo 3.07GHz 4GB 500GB,$120.00
New ListingUp to 8GB / 256GB SSD - Lenovo ThinkCentre M72e Tiny Intel Core i5 2.90~3.60GHz,$118.00
"Dell Desktop Computer PC Intel Core i3 8GB 250GB HD 19"" LCD DVD Windows 10 WIFI",$75.95
Lenovo Mini PC Tiny Desktop i7 / i5 Customize 32GB RAM 2TB SSD WIFI Win10 Pro,$190.00 to $759.96
"New ListingDell computer, Core TM i5",$130.00
Xtra-PC Pro 64,$49.99
New ListingIntel NUC7JY NUC Kit - 8 Gb Memory | No SSD,$175.88
New ListingDell Inspiron 3275  all in one   WIndows 10 pro AMD E2 7th Gen.,$93.00
Dell Optiplex 9010/7010 MT Intel i5-3470 3.2GHz 8GB RAM 256GB SSD Windows 10 PRO,$139.99
New ListingDell Desktop Computer PC | Core 2 duo | 4GB RAM | 500GB HDD | Windows 10,$145.50
Dell Desktop Computer PC Core i5 3.2GHz 8GB RAM 240GB SSD WiFi DVD Windows 10 HD,$170.99
HP Desktop Computer 3.16GHz 4GB DVDRW Parallel Port Win XP Pro 32bit,$109.00
Optiplex Dell 3.0GHz Tower 8GB 256GB Wifi Windows 10 Computer Monitor Combo,$154.99 to $199.99
New ListingDeLL Optiplex 9020M Micro Core i5-4590T 2.0GHz 8GB RAM 500GB HDD Win 10 Pro,$90.00
Dell Desktop Computer OptiPlex Core 2 Duo 4GB RAM 250GB HDD Windows 10 PC WIFI,$79.95
"New ListingGaming Pc Desktop Computer SSD+HDD, 32GB RAM, Wi-Fi Stream PC 8 C0RE READ ENZOW",$619.99
iNTEL Gaming PC Desktop Computer 3GB GTX 1060 Fast 4-Core 2TB HDD 16GB Ram ,$749.99
"HP Pavilion TG01 (512GB ,Intel Core I5-10400F 2.90GHz, 12GB RAM)...",$250.00
Custom Lenovo M910 Core i7 6700 up to 4.0GHz ThinkCentre Desktop Computer Win10,$359.99 to $449.99
"LG Chromebase 21.5""  HD All-In-One, Intel Celeron 2955U. 4GB RAM",$99.99
"Custom Dell Computer Intel i5 CPU Quad Core Windows 10 PC HDD SSD WiFi 22"" LCDs",$132.97 to $435.94
New Listinggaming computer desktop,"$1,500.00"
Dell Optiplex 9010/7010 MT Intel i7-3770 3.4GHz 16GB RAM 512GB SSD Win 10 Pro,$224.99
Dell i5 Desktop Computer PC 7020 WiFi/HDMI/up to 32GB RAM 3TB HDD SSD/Windows 10,$110.00 to $420.00
Dell Desktop i3 SSD Computer PC Intel Core 8GB RAM 256GB SSD Windows 10 Pro WiFi,$69.99
Dell Computer Intel Core i3 3.6 Ghz 8 GB Ram 1024 GB HDD Windows 10 Home 64-bit,$222.72
Dell Intel I7 Optiplex 7010 Computer Desktop Windows PC 16GB RAM 500GB SSD WiFi,$299.99
HP Desktop Computer Tower PC Core i5 8GB 1TB Windows 10 Pro Dual 22 LCD Mon WiFi,$279.95
Shop on eBay,$20.00
"New ListingHP Desktop i7 Computer Intel Core 8GB RAM 500GB HDD 22"" LCD Monitor Windows 10",$164.99
Dell Desktop Computer Precision T3420 16GB 256GB SSD Windows 10 Pro PC WIFI HDMI,$125.95
"hp Desktop PC Computer Core i5 Quad 8GB DUAL 22"" LCD Monitor WIFI Windows 10 Pro",$249.99
Dell Optiplex 9020 Tower PC Core i7 4TH Gen 16GB RAM 256GB SSD Hard Drive Win 10,$250.00
New ListingHP All-in-One 21-b0525t PC 10 Gen Core i3 8GB RAM 256GB SSD Windows 10 Computer ,$299.99
New ListingDell OptiPlex 3050M D10U002 i5-7500T 2.70Ghz 8GB Ram Mini Desktop (NO HDD/OS),$9.99
Dell XPS 8940 i7-11700 16GB RAM 512GB SSD Integrated Graphics WiFi Black,$649.00
HP Desktop M01-F0 AMD Ryzen 3 3200G 3.6GHz 8GB RAM 1TB HDD Windows 10,$279.99
New ListingDell 8940 XPS Desktop i7-10700 2.9GHz 32GB 512GB SSD+1TB HDD Windows 10 Home*,$102.50
New ListingDell Optiplex 3050 Micro PC Core i5-7500T 8GB RAM 256GB SSD. POWER CORD INCLUDED,$100.00
Acer Aspire TC Desktop Intel Core i5-10400 2.9GHz 8GB Ram 1TB HDD Win 10 Home,$349.99
